Номер заказа,Выручка,Себестоимость товаров,Доставка,Комиссия МП,ПОЛНАЯ себестоимость,НДС,Чистая прибыль,Рентабельность %,Количество товаров,Себестоимость доступна
674129652,54900.0,30213.0,0,8267.0,38480.0,0.0,16420.0,29.91,1,Да
666788494,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
658627534,140000.0,0.0,0,16800.0,16800.0,0.0,123200.0,88.0,1,Да
666924532,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666789089,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666926438,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667258597,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667644573,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666789062,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666922706,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666930506,66000.0,44934.0,0,7920.0,52854.0,0.0,13146.0,19.92,1,Да
666789121,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667251716,75000.0,47000.0,0,9000.0,56000.0,0.0,19000.0,25.33,1,Да
666922745,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
673690063,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666975474,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666944710,66000.0,44934.0,0,7920.0,52854.0,0.0,13146.0,19.92,1,Да
666923694,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667261307,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667261506,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
659328412,77000.0,47000.0,0,16519.0,63519.0,0.0,13481.0,17.51,1,Да
663392698,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667262123,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
658780005,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
663393430,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
663397011,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666581940,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
673938324,10.0,47000.0,0,1.2,47001.2,0.0,-46991.2,-469912.0,1,Да
664554401,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
661860366,69000.0,35580.0,0,8280.0,43860.0,0.0,25140.0,36.43,1,Да
666957265,61500.0,23650.0,0,11411.0,35061.0,0.0,26439.0,42.99,1,Да
663394295,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666583857,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
663392916,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666583970,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664554603,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
668758127,79000.0,48400.0,0,9480.0,57880.0,0.0,21120.0,26.73,1,Да
666587348,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664550701,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665704784,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666589126,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664552603,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666819779,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666975410,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660196996,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665705084,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667131911,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666819861,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660199797,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665706293,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666959164,130000.0,0.0,0,15600.0,15600.0,0.0,114400.0,88.0,1,Да
666821310,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667133450,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660199834,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666822409,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665706585,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667995478,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667135307,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660201159,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666822443,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665706520,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667131980,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666959165,120000.0,50661.0,0,14400.0,65061.0,0.0,54939.0,45.78,1,Да
667994768,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
673490483,120000.0,50661.0,0,14400.0,65061.0,0.0,54939.0,45.78,1,Да
660201413,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
658561129,79000.0,48400.0,0,9480.0,57880.0,0.0,21120.0,26.73,1,Да
666826023,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665708047,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667133522,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
WB3998670716,10544.0,28700.0,0,0.0,28700.0,0.0,-18156.0,-172.19,1,Да
667998390,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660202224,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665708522,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667681346,57000.0,29301.0,0,6840.0,36141.0,0.0,20859.0,36.59,1,Да
660204118,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
658642122,79000.0,35820.0,0,9480.0,45300.0,0.0,33700.0,42.66,1,Да
672926711,130000.0,68436.0,0,15600.0,84036.0,0.0,45964.0,35.36,1,Да
665708591,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666976294,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
670578024,54900.0,30213.0,0,8491.0,38704.0,0.0,16196.0,29.5,1,Да
665701987,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
674120373,140000.0,0.0,0,16800.0,16800.0,0.0,123200.0,88.0,1,Да
673975803,10.0,47000.0,0,1.2,47001.2,0.0,-46991.2,-469912.0,1,Да
660206071,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665702771,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
673975824,10.0,47000.0,0,1.2,47001.2,0.0,-46991.2,-469912.0,1,Да
660206106,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665702878,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660206114,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665703741,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664589444,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666976129,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660201430,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660782563,65000.0,34218.0,0,7800.0,42018.0,0.0,22982.0,35.36,1,Да
666573362,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
